Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.633794964201268,0.40333333333333343,0.8216666666666667,0.502164502164502
Accuracy,0.5546549511846421,0.3625,0.7142857142857143,0.4418604651162791
Balanced Accuracy,0.5664779195804194,0.40555555555555556,0.7111111111111111,0.44805194805194803
Average F1,0.6655293253400548,0.5809023066485753,0.7467001885606537,0.579664570230608
Precision for class 0,0.5844067379917185,0.34782608695652173,0.7966101694915254,0.5161290322580645
Precision for class 1,0.5210557244712466,0.29310344827586204,0.7454545454545455,0.45454545454545453
Recall for class 0,0.9148637962037951,0.8,1.0,0.7272727272727273
Recall for class 1,0.8053339649239631,0.6,0.9818181818181818,0.7142857142857143
Sensitivity for class 0,0.9148637962037951,0.8,1.0,0.7272727272727273
Sensitivity for class 1,0.8053339649239631,0.6,0.9818181818181818,0.7142857142857143
Specificity for class 0,0.2819102197802199,0.0,0.5428571428571428,0.2857142857142857
Specificity for class 1,0.32762187423687444,0.05,0.58,0.18181818181818182
