Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.3892442075883268,0.18380952380952398,0.518125,0.5
Accuracy,0.4182910353122971,0.26,0.56,0.4883720930232558
Balanced Accuracy,0.412292800810301,0.2492063492063492,0.5277777777777778,0.5
Average F1,0.43565911177626593,0.24828794394011783,0.5641025641025641,0.6665865384615385
Precision for class 0,0.47059773605422756,0.21739130434782608,0.7,0.5116279069767442
Precision for class 1,0.36891347442264627,0.125,0.6470588235294118,0.4883720930232558
Recall for class 0,0.7601646464646469,0.225,1.0,1.0
Recall for class 1,0.27756843212343246,0.13333333333333333,0.45714285714285713,1.0
Sensitivity for class 0,0.7601646464646469,0.225,1.0,1.0
Sensitivity for class 1,0.27756843212343246,0.13333333333333333,0.45714285714285713,1.0
Specificity for class 0,0.11665143412143417,0.0,0.4444444444444444,0.0
Specificity for class 1,0.5470171694971693,0.21666666666666667,0.75,0.0
