Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.6850348725348725,0.5677476118652589,0.7927838164251209,0.48654244306418226
Accuracy,0.6162790697674418,0.49224806201550386,0.7325581395348837,0.4318181818181818
Balanced Accuracy,0.6204906204906205,0.5187114197530864,0.7201086956521738,0.4358178053830228
Average F1,0.6924712496805521,0.6248520710059171,0.7438684503901895,0.5257092198581561
Precision for class 0,0.6010362694300518,0.4437869822485207,0.7463414634146341,0.56
Precision for class 1,0.5771428571428572,0.4044943820224719,0.7340425531914894,0.4230769230769231
Recall for class 0,0.8787878787878788,0.7878787878787878,0.9523809523809523,0.6086956521739131
Recall for class 1,0.8015873015873016,0.6597222222222222,0.9166666666666666,0.5238095238095238
Sensitivity for class 0,0.8787878787878788,0.7878787878787878,0.9523809523809523,0.6086956521739131
Sensitivity for class 1,0.8015873015873016,0.6597222222222222,0.9166666666666666,0.5238095238095238
Specificity for class 0,0.3888888888888889,0.2753623188405797,0.5111111111111111,0.47619047619047616
Specificity for class 1,0.4393939393939394,0.2833333333333333,0.5961538461538461,0.34782608695652173
