Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.6369710604133894,0.4037037037037037,0.8235714285714285,0.502164502164502
Accuracy,0.5561589731267524,0.36666666666666664,0.7142857142857143,0.4418604651162791
Balanced Accuracy,0.5677596320346318,0.40555555555555556,0.7111111111111111,0.44805194805194803
Average F1,0.6663115206059835,0.5810890796093519,0.7483164983164983,0.579664570230608
Precision for class 0,0.5857022256205091,0.34782608695652173,0.7966101694915254,0.5161290322580645
Precision for class 1,0.521897115937021,0.2962962962962963,0.7454545454545455,0.45454545454545453
Recall for class 0,0.9152826473526462,0.8,1.0,0.7272727272727273
Recall for class 1,0.8044694627594609,0.6,0.98,0.7142857142857143
Sensitivity for class 0,0.9152826473526462,0.8,1.0,0.7272727272727273
Sensitivity for class 1,0.8044694627594609,0.6,0.98,0.7142857142857143
Specificity for class 0,0.28551144633144665,0.016666666666666666,0.55,0.2857142857142857
Specificity for class 1,0.33104980130980144,0.05714285714285714,0.58,0.18181818181818182
