Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.6987433862433862,0.5691707717569787,0.8206521739130435,0.5538302277432712
Accuracy,0.5930232558139535,0.4728682170542636,0.7131782945736435,0.5454545454545454
Balanced Accuracy,0.5995670995670995,0.5121376811594203,0.682608695652174,0.5631469979296067
Average F1,0.6990986640914212,0.6436084833168265,0.7414671920641455,0.631578947368421
Precision for class 0,0.5857142857142857,0.43157894736842106,0.7443181818181818,0.5
Precision for class 1,0.5522388059701493,0.3875598086124402,0.7028301886792453,0.5128205128205128
Recall for class 0,0.9318181818181818,0.8840579710144928,0.9743589743589743,0.7391304347826086
Recall for class 1,0.8809523809523809,0.7608695652173914,0.9722222222222222,0.9523809523809523
Sensitivity for class 0,0.9318181818181818,0.8840579710144928,0.9743589743589743,0.7391304347826086
Sensitivity for class 1,0.8809523809523809,0.7608695652173914,0.9722222222222222,0.9523809523809523
Specificity for class 0,0.30952380952380953,0.15079365079365079,0.5,0.19047619047619047
Specificity for class 1,0.3181818181818182,0.18333333333333332,0.4583333333333333,0.17391304347826086
