Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.7314285714285713,0.6176906318082789,0.8346581196581196,0.502164502164502
Accuracy,0.6454545454545455,0.55,0.75,0.4418604651162791
Balanced Accuracy,0.6542443064182195,0.5681818181818181,0.7406315789473684,0.44805194805194803
Average F1,0.7164505762411348,0.6576576576576576,0.7644479700007212,0.579664570230608
Precision for class 0,0.6227544910179641,0.4647887323943662,0.7682926829268293,0.5161290322580645
Precision for class 1,0.5894039735099338,0.4264705882352941,0.7394366197183099,0.45454545454545453
Recall for class 0,0.9043478260869565,0.8333333333333334,0.9625,0.7272727272727273
Recall for class 1,0.8476190476190476,0.7333333333333333,0.9428571428571428,0.7142857142857143
Sensitivity for class 0,0.9043478260869565,0.8333333333333334,0.9625,0.7272727272727273
Sensitivity for class 1,0.8476190476190476,0.7333333333333333,0.9428571428571428,0.7142857142857143
Specificity for class 0,0.4,0.24761904761904763,0.5666666666666667,0.2857142857142857
Specificity for class 1,0.4608695652173913,0.32727272727272727,0.592,0.18181818181818182
