Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.6600220293174095,0.4903628117913832,0.8088107638888888,0.48654244306418226
Accuracy,0.6025953313864503,0.44871794871794873,0.75,0.4318181818181818
Balanced Accuracy,0.6054892591205097,0.4642857142857143,0.7395833333333334,0.4358178053830228
Average F1,0.6678323693702016,0.565584558017109,0.7563559322033898,0.5257092198581561
Precision for class 0,0.601595720165239,0.3684210526315789,0.8064516129032258,0.56
Precision for class 1,0.5699482106249898,0.32142857142857145,0.8,0.4230769230769231
Recall for class 0,0.8367902472527488,0.6666666666666666,0.9722222222222222,0.6086956521739131
Recall for class 1,0.757785896048396,0.5416666666666666,0.9523809523809523,0.5238095238095238
Sensitivity for class 0,0.8367902472527488,0.6666666666666666,0.9722222222222222,0.6086956521739131
Sensitivity for class 1,0.757785896048396,0.5416666666666666,0.9523809523809523,0.5238095238095238
Specificity for class 0,0.42776295926295915,0.2,0.65,0.47619047619047616
Specificity for class 1,0.45319262219262196,0.23333333333333334,0.6851851851851852,0.34782608695652173
