Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.42074534161490684,0.3623333333333333,0.4768376068376068,0.5
Accuracy,0.45454545454545453,0.3181818181818182,0.5909090909090909,0.4883720930232558
Balanced Accuracy,0.4753623188405797,0.4508928571428571,0.4993464052287582,0.5
Average F1,0.6341141212192911,0.6100250626566416,0.6509615384615384,0.6665865384615385
Precision for class 0,0.5048543689320388,0.35714285714285715,0.6442307692307693,0.5116279069767442
Precision for class 1,0.46445497630331756,0.3238095238095238,0.6066350710900474,0.4883720930232558
Recall for class 0,0.9043478260869565,0.8454545454545455,0.96,1.0
Recall for class 1,0.9333333333333333,0.89,0.9727272727272728,1.0
Sensitivity for class 0,0.9043478260869565,0.8454545454545455,0.96,1.0
Sensitivity for class 1,0.9333333333333333,0.89,0.9727272727272728,1.0
Specificity for class 0,0.02857142857142857,0.0,0.06,0.0
Specificity for class 1,0.017391304347826087,0.0,0.043478260869565216,0.0
