Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.5628269659456389,0.3842857142857141,0.7170833333333333,0.5
Accuracy,0.5025621085814698,0.30666666666666664,0.6933333333333334,0.4883720930232558
Balanced Accuracy,0.5243661918636908,0.47619047619047616,0.6,0.5
Average F1,0.6620730471063478,0.6325757575757576,0.6872614503816794,0.6665865384615385
Precision for class 0,0.5307455755972381,0.32051282051282054,0.726027397260274,0.5116279069767442
Precision for class 1,0.4888130596869209,0.2857142857142857,0.7058823529411765,0.4883720930232558
Recall for class 0,0.9878659235209253,0.9333333333333333,1.0,1.0
Recall for class 1,0.9579298007548008,0.8666666666666667,1.0,1.0
Sensitivity for class 0,0.9878659235209253,0.9333333333333333,1.0,1.0
Sensitivity for class 1,0.9579298007548008,0.8666666666666667,1.0,1.0
Specificity for class 0,0.037355623820623775,0.0,0.14545454545454545,0.0
Specificity for class 1,0.09080258297258323,0.0,0.26,0.0
