Sig_id,num_variables,Metric,Estimate,Hold-out
0,0,Area Under the ROC Curve,0.4774873652020257,0.5
0,0,Accuracy,0.48079162585637114,0.4772727272727273
0,0,Balanced Accuracy,0.487586727855478,0.5
0,0,Average F1,0.6180285255993062,0.6663605051664754
0,0,Precision for class 0,0.5113720694121249,0.5227272727272727
0,0,Precision for class 1,0.47890475186928444,0.4772727272727273
0,0,Recall for class 0,0.9108927123802126,1.0
0,0,Recall for class 1,0.8174837833462839,1.0
0,0,Sensitivity for class 0,0.9108927123802126,1.0
0,0,Sensitivity for class 1,0.8174837833462839,1.0
0,0,Specificity for class 0,0.09884958467458485,0.0
0,0,Specificity for class 1,0.15768967236467232,0.0
