Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.6518426501035195,0.5601656314699791,0.7446694214876033,0.5
Accuracy,0.5318181818181819,0.41363636363636364,0.65,0.4883720930232558
Balanced Accuracy,0.5488612836438924,0.49668737060041407,0.6004357298474945,0.5
Average F1,0.6742916342916343,0.6486020093799295,0.6921602493891651,0.6665865384615385
Precision for class 0,0.5380952380952381,0.3923444976076555,0.6745283018867925,0.5116279069767442
Precision for class 1,0.5052083333333334,0.36,0.6485148514851485,0.4883720930232558
Recall for class 0,0.9826086956521739,0.9578947368421052,1.0,1.0
Recall for class 1,0.9238095238095239,0.8666666666666667,0.9692307692307692,1.0
Sensitivity for class 0,0.9826086956521739,0.9578947368421052,1.0,1.0
Sensitivity for class 1,0.9238095238095239,0.8666666666666667,0.9692307692307692,1.0
Specificity for class 0,0.0761904761904762,0.025,0.1411764705882353,0.0
Specificity for class 1,0.17391304347826086,0.08571428571428572,0.26666666666666666,0.0
