Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.5047243106262492,0.2947530864197533,0.6981481481481482,0.4772256728778468
Accuracy,0.4678181571696272,0.2777777777777778,0.6666666666666666,0.4772727272727273
Balanced Accuracy,0.4754184387371884,0.38541666666666663,0.5410052910052909,0.5
Average F1,0.6428975473082557,0.5702679517585911,0.6944444444444444,0.6266483516483516
Precision for class 0,0.5374387613787521,0.3157894736842105,0.7590361445783133,0.5151515151515151
Precision for class 1,0.4763544403800216,0.25,0.6923076923076923,0.4772727272727273
Recall for class 0,0.9302747867872896,0.7857142857142857,1.0,0.7391304347826086
Recall for class 1,0.8849048160173177,0.6904761904761905,1.0,1.0
Sensitivity for class 0,0.9302747867872896,0.7857142857142857,1.0,0.7391304347826086
Sensitivity for class 1,0.8849048160173177,0.6904761904761905,1.0,1.0
Specificity for class 0,0.16567200438450433,0.0,0.36666666666666664,0.23809523809523808
Specificity for class 1,0.06593206145706174,0.0,0.16666666666666666,0.0
