Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.558471620971621,0.43067738791423016,0.6782407407407407,0.4772256728778468
Accuracy,0.46511627906976744,0.34108527131782945,0.5968992248062015,0.4772727272727273
Balanced Accuracy,0.47384559884559885,0.4079939668174962,0.529422514619883,0.5
Average F1,0.656578428796637,0.6081442311695882,0.6925611292354404,0.6266483516483516
Precision for class 0,0.5700934579439252,0.41818181818181815,0.7142857142857143,0.5151515151515151
Precision for class 1,0.47345132743362833,0.3225806451612903,0.6283185840707964,0.4772727272727273
Recall for class 0,0.9242424242424242,0.8484848484848485,0.9841269841269841,0.7391304347826086
Recall for class 1,0.8492063492063492,0.7192982456140351,0.9473684210526315,1.0
Sensitivity for class 0,0.9242424242424242,0.8484848484848485,0.9841269841269841,0.7391304347826086
Sensitivity for class 1,0.8492063492063492,0.7192982456140351,0.9473684210526315,1.0
Specificity for class 0,0.2698412698412698,0.15942028985507245,0.37962962962962965,0.23809523809523808
Specificity for class 1,0.09848484848484848,0.05555555555555555,0.15,0.0
