#METABOLOMICS WORKBENCH STUDY_ID:ST000042 ANALYSIS_ID:AN000064
VERSION             	1
CREATED_ON          	2016-09-17
#PROJECT
PR:PROJECT_TITLE                 	BALF Studies
PR:PROJECT_TYPE                  	MS study
PR:PROJECT_SUMMARY               	Studies of BALF as a biofluid for metabolomics
PR:INSTITUTE                     	University of Michigan
PR:DEPARTMENT                    	UMich College of Pharmacy
PR:LABORATORY                    	Stringer Lab
PR:LAST_NAME                     	Stringer
PR:FIRST_NAME                    	Kathleen
PR:ADDRESS                       	Ann Arbor, MI
PR:EMAIL                         	stringek@umich.edu
PR:PHONE                         	734-647-4775
#STUDY
ST:STUDY_TITLE                   	BALF Control vs ALI by RPLC-MS
ST:STUDY_TYPE                    	MS
ST:STUDY_SUMMARY                 	BALF comparison of healthy controls vs patients with Acute Lung Injury.
ST:INSTITUTE                     	University of Michigan
ST:DEPARTMENT                    	Biomedical Research Core Facilities
ST:LABORATORY                    	Metabolomics core
ST:LAST_NAME                     	Kachman
ST:FIRST_NAME                    	Maureen
ST:ADDRESS                       	6300 Brehm Tower, 1000 Wall Street, Ann Arbor, MI 48105-5714
ST:EMAIL                         	mkachman@umich.edu
ST:PHONE                         	-
ST:NUM_GROUPS                    	2
ST:TOTAL_SUBJECTS                	23
#SUBJECT
SU:SUBJECT_TYPE                  	HUMAN
SU:SUBJECT_SPECIES               	Homo sapiens
SU:TAXONOMY_ID                   	9606
SU:SPECIES_GROUP                 	Human
#SUBJECT_SAMPLE_FACTORS:         	SUBJECT(optional)[tab]SAMPLE[tab]FACTORS(NAME:VALUE pairs separated by |)[tab]Additional sample data
SUBJECT_SAMPLE_FACTORS           	-	S00010313	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010314	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010315	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010316	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010317	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010318	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010322	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010323	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010324	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010325	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010326	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010327	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010328	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010329	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010330	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010331	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010332	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010333	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010334	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010335	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010319	Condition:Healthy	
SUBJECT_SAMPLE_FACTORS           	-	S00010320	Condition:Healthy	
SUBJECT_SAMPLE_FACTORS           	-	S00010321	Condition:Healthy	
#COLLECTION
CO:COLLECTION_SUMMARY            	-
CO:SAMPLE_TYPE                   	Bronchoalveolar Lavage Fluid
#TREATMENT
TR:TREATMENT_SUMMARY             	-
#SAMPLEPREP
SP:SAMPLEPREP_SUMMARY            	-
SP:SAMPLEPREP_PROTOCOL_FILENAME  	EX00184-Sample_preparation_protocol.pdf
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_TYPE           	-
CH:INSTRUMENT_NAME               	-
CH:COLUMN_NAME                   	Waters Acquity HSS T3:Waters Acquity HSS T3
CH:METHODS_ID                    	AQM003:AQM004
CH:METHODS_FILENAME              	Column1_lowinj_jetstream_grad9.m.zip
#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
AN:LABORATORY_NAME               	MRC2 (University of Michigan)
AN:ANALYSIS_PROTOCOL_FILE        	Metabolomic_analysis_of_lung_lavage_fluid RP-LC-MS.docx
AN:ACQUISITION_PARAMETERS_FILE   	Column1_solv1_lowinj_jetstream_pos_grad9.m.zip
AN:PROCESSING_PARAMETERS_FILE    	LCPosDataProcessing.m
#MS
MS:INSTRUMENT_NAME               	Agilent 6530 QTOF
MS:INSTRUMENT_TYPE               	Q-TOF
MS:MS_TYPE                       	ESI
MS:ION_MODE                      	POSITIVE
#MS_METABOLITE_DATA
MS_METABOLITE_DATA:UNITS	Counts
MS_METABOLITE_DATA_START
Samples	S00010313	S00010314	S00010315	S00010316	S00010318	S00010322	S00010323	S00010324	S00010325	S00010326	S00010327	S00010328	S00010329	S00010330	S00010331	S00010332	S00010333	S00010334	S00010335	S00010319	S00010321
Factors	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Acute lung injury	Condition:Healthy	Condition:Healthy
10-HYDROXYDECANOATE	637894.0000	1214710.0000	1085701.0000	420853.0000	176913.0000	170030.0000	290109.0000	998233.0000	764900.0000	325373.0000	826396.0000	455094.0000	453542.0000	1184093.0000	960057.0000	436411.0000	154200.0000	532146.0000	134298.0000	609533.0000	482238.0000
10-HYDROXYDECANOATE_1	476883.0000	588237.0000	492614.0000	313768.0000	526711.0000	371877.0000	81324.0000	581422.0000	577601.0000	503021.0000	554893.0000	374229.0000	464794.0000	557449.0000	428173.0000	308225.0000	597640.0000	487536.0000	578775.0000	493321.0000	483630.0000
10-HYDROXYDECANOATE_2												315420.0000				320489.0000					
11-BETA-HYDROXYANDROST-4-ENE-3_17-DIONE	114762.0000														80456.0000						
11-BETA-HYDROXYANDROST-4-ENE-3_17-DIONE_1						158336.0000			20936.0000		85969.0000	212865.0000				29926.0000					
1_2-DIPALMITOYL-SN-GLYCEROL			3946093.0000										4044376.0000		4094245.0000	3486377.0000		3793881.0000		3957826.0000	3869862.0000
12-HYDROXY-DODECANOIC ACID					624776.0000	697519.0000		625062.0000	650856.0000	643626.0000	662377.0000			728228.0000				664556.0000	682528.0000	699950.0000	585317.0000
[13C]-ARGININE	684954.0000	567762.0000	944424.0000	860382.0000	1420932.0000	771634.0000	540395.0000	892620.0000	916535.0000	604877.0000	755716.0000	920312.0000	894375.0000	747648.0000	1148607.0000	949495.0000	813489.0000	364700.0000	1076551.0000	1183809.0000	1226212.0000
[13C]-ASPARTIC ACID		201715.0000			753573.0000					197417.0000					475322.0000	453057.0000					
[13C]-GLUTAMATE	379242.0000	283566.0000	279083.0000	283352.0000	1378023.0000	244762.0000	240738.0000	290638.0000	292248.0000	263390.0000	283296.0000	332954.0000	401870.0000	180630.0000	775894.0000	784478.0000	395075.0000	214347.0000	249449.0000	318028.0000	300297.0000
[13C]-HISTIDINE								19003.0000	22107.0000												85001.0000
[13C]-LEUCINE	23668950.0000	23882510.0000	26390597.0000	23310176.0000	64809700.0000	25262763.0000	22980879.0000	24169835.0000	24630316.0000	22864365.0000	25507619.0000	25158995.0000	24149479.0000	24330383.0000	25509411.0000	23735586.0000	27491067.0000	23197466.0000	27072243.0000	25354072.0000	25328167.0000
[13C]-LYSINE	172009.0000	149146.0000	144169.0000	130071.0000	328912.0000	124737.0000	124111.0000	130226.0000	143974.0000	140292.0000	148317.0000	171339.0000	169436.0000	102023.0000	258451.0000	248883.0000	189484.0000	129107.0000	123273.0000	150318.0000	142226.0000
[13C]-METHIONINE	3173531.0000	3000972.0000	3157550.0000	2986255.0000	4104531.0000	2961690.0000	2811457.0000	3092129.0000	2974911.0000	2929440.0000	3074771.0000	3142714.0000	3330572.0000	2601790.0000	3994177.0000	3866787.0000	3509467.0000	2447797.0000	3142185.0000	3198854.0000	3244926.0000
[13C]-PHENYLALANINE	31088275.0000	31737947.0000	33506055.0000	30469049.0000	33062178.0000	32943385.0000	30437924.0000	31073497.0000	31917661.0000	30205091.0000	32239821.0000	32306327.0000	31127344.0000	32053682.0000	32758035.0000	31137435.0000	34632592.0000	28657667.0000	36194745.0000	32324610.0000	31812120.0000
[13C]-PROLINE	3367409.0000	2683203.0000	2887937.0000	3289344.0000	5468312.0000	2747336.0000	2696754.0000	3209150.0000	2978458.0000	2656388.0000	2951442.0000	3489401.0000	3548374.0000	2224715.0000	4575305.0000	4436670.0000	3549481.0000	2004568.0000	2909461.0000	3345597.0000	3326728.0000
[13C]-THREONINE	190188.0000	131570.0000	157495.0000	135848.0000	627012.0000	122205.0000	126978.0000	135153.0000	152242.0000	130136.0000	141775.0000	170715.0000	212373.0000	99320.0000	389581.0000	393497.0000	204193.0000	110448.0000	129502.0000	158813.0000	137897.0000
[13C]-TYROSINE	6805230.0000	7017082.0000	7630486.0000	6691066.0000	7518182.0000	7119294.0000	6598106.0000	6841018.0000	6962538.0000	6514820.0000	7340396.0000	7210539.0000	7163045.0000	6808681.0000	7537056.0000	6884742.0000	8030439.0000	6793843.0000	7832987.0000	7339007.0000	7303636.0000
[13C]-VALINE	6882237.0000	6458641.0000	6552195.0000	6415131.0000	9141497.0000	6532597.0000	6372266.0000	6526918.0000	6420311.0000	6446333.0000	6652001.0000	6835803.0000	7038101.0000	5740290.0000	8287591.0000	7869762.0000	7648512.0000	5651901.0000	6824942.0000	6593224.0000	6648382.0000
17ALPHA-HYDROXYPROGESTERONE	64201.0000			73355.0000																	
1-OLEOYL-RAC-GLYCEROL							203793.0000		12192.0000		52961.0000		30149.0000					106743.0000	190624.0000	47077.0000	24349.0000
