#METABOLOMICS WORKBENCH STUDY_ID:ST000215 ANALYSIS_ID:AN000317
VERSION             	1
CREATED_ON          	2016-09-17
#PROJECT
PR:PROJECT_TITLE                 	Regulation of hepatic metabolism
PR:PROJECT_SUMMARY               	Examine metabolite in liver and plasma before and after 13C-glucose load in
PR:PROJECT_SUMMARY               	type, LIRKO and LIRFKO mice
PR:INSTITUTE                     	University of Chicago
PR:DEPARTMENT                    	Jesse Brown VA Medical Center
PR:LABORATORY                    	Unterman Lab
PR:LAST_NAME                     	Unterman
PR:FIRST_NAME                    	Terry
PR:ADDRESS                       	Chicago, IL
PR:EMAIL                         	unterman@uic.edu
PR:PHONE                         	847-778-0943
#STUDY
ST:STUDY_TITLE                   	Liver and Plasma metaboites for 13C-glucose load in wild type, LIRKO GTT 1 mice
ST:STUDY_SUMMARY                 	Mice were fasted for 18 hr overnight then sacrificed or treated with
ST:STUDY_SUMMARY                 	(2 g/kg ip) and sacrificed 1 hr later by decapitation and liver was immediately
ST:STUDY_SUMMARY                 	and stored in liquid N2 and then at -80 C. Wild type (IR and IR/FoxO1 floxed)
ST:STUDY_SUMMARY                 	were sacrificed after fasting and 1 hr post-glucose treatment. Liver-specific
ST:STUDY_SUMMARY                 	receptor knockout (LIRKO) and insulin receptor/FoxO1 double knockout (LIRFKO)
ST:STUDY_SUMMARY                 	were sacrificed 1 hr post glucose treatment
ST:INSTITUTE                     	University of Michigan
ST:DEPARTMENT                    	Biomedical Research Core Facilities
ST:LABORATORY                    	Metabolomics core
ST:LAST_NAME                     	Kachman
ST:FIRST_NAME                    	Maureen
ST:ADDRESS                       	6300 Brehm Tower, 1000 Wall Street, Ann Arbor, MI 48105-5714
ST:EMAIL                         	mkachman@umich.edu
ST:PHONE                         	-
ST:NUM_GROUPS                    	5
ST:TOTAL_SUBJECTS                	40
#SUBJECT
SU:SUBJECT_TYPE                  	-
SU:SUBJECT_SPECIES               	Mus musculus
SU:TAXONOMY_ID                   	10090
#SUBJECT_SAMPLE_FACTORS:         	SUBJECT(optional)[tab]SAMPLE[tab]FACTORS(NAME:VALUE pairs separated by |)[tab]Additional sample data
SUBJECT_SAMPLE_FACTORS           	SU0003002	S00013145	treatment:glucose | Strain:IRF floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003001	S00013143	treatment:glucose | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003001	S00013142	treatment:glucose | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003001	S00013144	treatment:glucose | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003004	S00013152	treatment:glucose | Strain:LIRFKO	
SUBJECT_SAMPLE_FACTORS           	SU0003004	S00013153	treatment:glucose | Strain:LIRFKO	
SUBJECT_SAMPLE_FACTORS           	SU0003004	S00013154	treatment:glucose | Strain:LIRFKO	
SUBJECT_SAMPLE_FACTORS           	SU0003004	S00013155	treatment:glucose | Strain:LIRFKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013146	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013147	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013148	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013149	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013150	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013151	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013136	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013137	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013138	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013139	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013140	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013141	treatment:none | Strain:IR floxed	
#COLLECTION
CO:COLLECTION_SUMMARY            	-
CO:SAMPLE_TYPE                   	Liver
#TREATMENT
TR:TREATMENT_SUMMARY             	-
#SAMPLEPREP
SP:SAMPLEPREP_SUMMARY            	-
SP:SAMPLEPREP_PROTOCOL_FILENAME  	Fluxomics_analysis_protocol-2015-03-11.docx
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_TYPE           	-
CH:INSTRUMENT_NAME               	-
CH:COLUMN_NAME                   	Luna 3 m NH2 100 , LC Column 150 x 1 mm, Ea (Phenomenex Inc.)
CH:METHODS_ID                    	AQM010
CH:METHODS_FILENAME              	QTOF-002-HILIC-35min-1mm.m.zip
#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
AN:LABORATORY_NAME               	MRC2 (University of Michigan)
AN:ACQUISITION_PARAMETERS_FILE   	QTOF-002-HILIC-35min-1mm.m.zip
AN:PROCESSING_PARAMETERS_FILE    	EX00258-flux-MassHunterQuant-GlyTCA-DataAnalysis-LCMS-Method.m.zip
#MS
MS:INSTRUMENT_NAME               	Agilent 6520 QTOF
MS:INSTRUMENT_TYPE               	Q-TOF
MS:MS_TYPE                       	ESI
MS:ION_MODE                      	NEGATIVE
#MS_METABOLITE_DATA
MS_METABOLITE_DATA:UNITS	Area
MS_METABOLITE_DATA_START
Samples	S00013145	S00013143	S00013142	S00013144	S00013152	S00013153	S00013154	S00013155	S00013146	S00013147	S00013148	S00013149	S00013150	S00013151	S00013136	S00013137	S00013138	S00013139	S00013140	S00013141
Factors	treatment:glucose | Strain:IRF floxed	treatment:glucose | Strain:IR floxed	treatment:glucose | Strain:IR floxed	treatment:glucose | Strain:IR floxed	treatment:glucose | Strain:LIRFKO	treatment:glucose | Strain:LIRFKO	treatment:glucose | Strain:LIRFKO	treatment:glucose | Strain:LIRFKO	treatment:glucose | Strain:LIRKO	treatment:glucose | Strain:LIRKO	treatment:glucose | Strain:LIRKO	treatment:glucose | Strain:LIRKO	treatment:glucose | Strain:LIRKO	treatment:glucose | Strain:LIRKO	treatment:none | Strain:IR floxed	treatment:none | Strain:IR floxed	treatment:none | Strain:IR floxed	treatment:none | Strain:IR floxed	treatment:none | Strain:IR floxed	treatment:none | Strain:IR floxed
2 or 3-phosphoglycerate_13C_1	0.0000	0.0000	0.0000	1218.9964	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2 or 3-phosphoglycerate_13C_2	1574.0167	2373.1509	0.0000	4989.2428	0.0000	5433.7707	3049.0734	3591.7401	0.0000	0.0000	414.9037	1056.9982	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2 or 3-phosphoglycerate_13C_3	3600.5990	2635.5913	0.0000	6974.3408	0.0000	914.8454	694.7325	0.0000	3321.8987	0.0000	2514.7682	2206.2576	1083.4800	3367.7863	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2 or 3-phosphoglycerate_2PG/3PG	9453.4897	9894.5078	0.0000	25272.5106	0.0000	8915.7097	7839.1168	3222.2407	8798.7595	960.0805	11578.8993	12397.6724	10548.1033	11209.9661	4326.6167	4920.3749	6514.4501	1267.6319	1482.8562	0.0000
3-Glycerophosphate	1146326.5760	1176186.4770	470026.9753	1772935.1960	906994.5366	2515126.8810	2096108.0580	573092.3937	1635581.1520	404623.4697	1565910.6290	1471212.6780	1094227.9340	1424611.7280	841718.6514	845882.4420	1002046.1150	411267.8115	544866.1653	171993.1693
3-Glycerophosphate_1	94492.5275	78253.6547	7394.4541	136305.5830	57651.5978	178060.6570	137405.0486	34158.7445	82639.4926	22059.3318	34883.0255	64596.5689	41687.9771	69355.0227	0.0000	297.8448	320.1454	1666.1878	467.8558	0.0000
3-Glycerophosphate_2	98452.3157	75387.6978	9859.7914	99018.7293	62508.4664	167689.7680	146307.2123	40523.0216	99794.4246	29418.2808	41324.2506	73390.5386	51848.1658	89115.8745	1677.6242	0.0000	925.8473	0.0000	629.8435	3268.9367
3-Glycerophosphate_3	278793.7445	194083.3035	16096.3558	460582.1291	114531.1237	294532.4444	201848.3015	57383.1457	191300.4772	46694.7812	140229.7787	192998.6625	122743.4408	196676.3765	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3-phosphoglyceraldehyde	1290.0269	1856.6346	1177.1517	2025.8840	1230.5350	15998.2621	11603.6220	4581.4410	10685.3890	0.0000	911.0954	1530.5731	15592.8782	9267.8881	5976.9202	1998.5396	3267.7972	3050.9181	2793.0692	0.0000
3-phosphoglyceraldehyde_1	0.0000	0.0000	0.0000	1742.6592	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3-phosphoglyceraldehyde_2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3-phosphoglyceraldehyde_3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6-Phosphogluconate	12823.8870	8952.7585	695.0174	15070.9970	3133.4134	13914.5910	12352.3899	4431.9212	14126.5167	2184.2873	35368.9729	37760.0146	25457.4961	13520.8457	5804.7354	11192.3951	13413.6867	2568.6357	1945.5805	0.0000
6-Phosphogluconate_13C_1	1553.5175	826.2637	0.0000	2652.4112	0.0000	325.5528	270.4773	0.0000	265.8085	0.0000	4277.7010	5570.4367	3397.0897	473.8926	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6-Phosphogluconate_13C_2	1315.5217	1218.4021	0.0000	1167.9905	0.0000	2546.0417	597.6489	0.0000	0.0000	0.0000	3777.4753	5442.3159	2732.2250	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6-Phosphogluconate_13C_3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6-Phosphogluconate_13C_4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.8185	0.0000	0.0000	0.0000	0.0000	3.8172	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6-Phosphogluconate_13C_5	1.3476	0.0000	0.0000	1.5837	0.0000	0.0000	0.6409	0.0000	0.1815	0.0000	3.7947	5.0495	2.8162	0.2204	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6-Phosphogluconate_13C_6	3379.5960	0.0000	0.0000	4338.2173	0.0000	0.0000	1441.2743	0.0000	1938.2140	0.0000	8146.9560	9696.0153	4319.8123	2577.1317	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Acetyl-CoA	193438.8212	170259.4155	54545.8593	283241.9266	93253.0753	293043.2192	259946.8887	73485.6741	93696.8634	43596.1762	50316.5597	71872.6205	111711.6975	297315.9739	157008.1932	214441.5460	185195.2044	64430.6266	148945.2705	74939.1885
Acetyl-CoA_13C_1	0.0000	693.0478	1362.0158	5503.9245	1967.7523	949.8910	5841.5652	1700.5506	1217.8763	0.0000	2730.6937	0.0000	5385.9572	0.0000	2524.0704	598.0396	0.0000	998.4489	3748.7738	402.2715
Acetyl-CoA_13C_2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Adenosine diphosphate_13C_1	2583.6732	3291.2596	2587.3886	8980.5170	0.0000	4869.1824	2071.2748	4861.8074	5096.0405	2212.5122	2409.8158	767.0235	8407.6593	5646.8292	0.0000	1517.4061	0.0000	1994.2000	1520.2924	1096.6242
Adenosine diphosphate_13C_2	3269.4432	1751.0386	2487.4244	3083.0481	0.0000	1101.0042	649.6325	65.4470	2236.9873	896.3229	498.0947	883.7698	1545.2313	2274.4660	835.5581	402.8749	0.0000	1440.8659	364.9534	0.0000
Adenosine diphosphate_13C_3	254.1394	2039.4611	868.1417	666.6760	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	305.3690	0.0000	0.0000	827.1032	0.0000	591.5316	0.0000	0.0000	0.0000	0.0000
Adenosine diphosphate_13C_4	2478.5911	2887.9397	0.0000	1911.6742	0.0000	0.0000	4000.6021	0.0000	2576.9758	0.0000	0.0000	0.0000	0.0000	3257.5275	720.8843	467.8363	0.0000	0.0000	0.0000	0.0000
Adenosine diphosphate_13C_5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Adenosine monophosphate_13C_1	0.0000	0.0000	0.0000	0.0000	16521.3822	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Adenosine monophosphate_13C_2	27356.3365	22682.7109	38632.9260	39348.8324	5803.2287	32247.6179	21920.4612	20795.5506	36772.7515	73576.7136	12318.4806	0.0000	208227.1175	22513.1756	0.0000	17042.8512	24492.4963	7947.5834	1159.9333	0.0000
Adenosine monophosphate_13C_3	15121.9196	16766.5963	22825.8868	9992.4728	7427.8984	16882.6516	11692.3235	19696.7095	33479.6047	10411.6478	6041.1763	38636.7638	26148.2897	24802.5756	2899.9458	1977.2955	5613.4415	230.5996	4363.3120	1428.3288
Adenosine monophosphate_13C_4	35623.5124	19360.2176	13571.6768	11318.2998	4219.8777	28230.6201	9330.5569	6831.1844	14057.9705	1357.2038	9314.2289	14168.7517	11618.1002	9672.4232	3838.2294	7794.6568	7976.0122	1648.6922	2544.4149	198.0983
Adenosine monophosphate_13C_5	0.0000	11259.3574	10343.0031	0.0000	1336.2049	0.0000	0.0000	3305.7617	9254.8614	1829.4151	0.0000	6049.1227	11072.3440	10537.4277	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Adenosine triphosphate_13C_1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Adenosine triphosphate_13C_2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Adenosine triphosphate_13C_3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Adenosine triphosphate_13C_4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Adenosine triphosphate_13C_5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ADP	1204859.1620	914384.8829	460080.3787	1318656.3290	458303.9658	900494.7196	868375.3544	537421.3274	531150.7206	397921.2726	308656.0079	407926.7745	415519.8461	994240.7709	963054.9979	1032610.5710	1234904.4670	419574.1000	568935.7558	255297.7542
AMP	14569548.4300	10042023.9800	8431006.8540	13711440.3400	7982065.2210	18466840.2200	14860554.8900	7159892.2950	14585826.0300	5092012.1020	7053599.6700	10498941.2100	12230535.1600	14373551.7300	10519042.8700	10256853.1600	13961973.0900	6700846.7090	9924449.6110	6942949.4270
Aspartate	202746.7235	148347.0047	74760.6067	260698.3432	69231.4681	336396.7937	271159.9553	149275.1440	247619.5992	81363.5471	429171.0523	421210.0537	412881.4275	310378.4409	137584.2374	148254.6960	166973.4896	38991.6142	82681.9396	60568.6662
Aspartate_13C_1	21390.7643	14884.6088	3556.8468	29585.9690	3161.8250	33265.6144	25935.2606	16640.5282	23473.6973	10581.5719	33683.4166	52983.8188	44746.4522	35347.6067	225.5014	0.0000	699.3960	0.0000	0.0000	0.0000
