sample,Hours, Compactin, KLA,10Z-heptadecenoic acid,11_14_17-eicosatrienoic acid,11_14-eicosadienoic acid,11-HETE,13_16_19-docosatrienoic acid,13_16-docosadienoic acid,15-deoxy-PGD2,15-deoxy-PGJ2,5_8_11_14_17-eicosapentaenoic acid,5_8_11-eicosatrienoic acid,5-HETE,7_10_13_16_19-docosapentaenoic acid,7Z_10Z_13Z_16Z-docosatetraenoic acid,9Z-palmitoleic acid,alpha-linolenic acid,arachidic acid,arachidonic acid,behenic acid,bishomo-gamma-linolenic acid,cerotic acid,cis-erucic acid,cis-selacholeic acid,DHA,gamma-linolenic acid,lauric acid,lignoceric acid,linoleic acid,Margaric acid,Myristic acid,Oleic acid,Palmitic acid,Pentadecanoic acid,PGD2,PGE2,PGF2a,PGJ2,stearic acid,Stearidonic acid,Tricosanoic acid
BCJ080212A02,0.5,0,0,3.47378691161437,3.84899843040002,3.34624777408278,3.32481060342048,NA,3.32192809488736,3.32624970083746,3.32337006906127,3.48800077083407,3.32624970083746,3.32192809488736,3.68481873755322,3.50716034911752,3.93451650158608,3.36737106564853,3.4944156103975,3.79597469420667,3.34908214639109,3.50842865253186,3.34198574722862,3.32912359629157,3.33771109212829,3.86888427302877,3.35755200461808,4.06522762277562,3.48928602262588,3.94673086014031,3.57893871309339,4.62585493136806,7.32400047983857,6.02236781302845,3.86492897228979,3.33342373372519,3.35049724708413,NA,3.62058641045188,6.02258974904011,3.32337006906127,3.33771109212829
BCJ080219A02,0.5,0,0,3.38956681176273,3.99909803370561,3.37155886261196,3.33199177823206,3.32337006906127,3.32192809488736,3.3305584000308,3.32337006906127,3.46597446450407,3.32192809488736,3.32337006906127,3.77820857639809,3.57167680997093,4.07553263116736,3.37295209791183,3.46988597627446,4.268284666521,3.41278152533848,3.51349074558812,3.35614381022528,3.32337006906127,3.33628338786443,3.94204525991605,3.34198574722862,3.75167794568758,3.44890095114513,3.97819562968165,3.5933537709803,4.62819033461521,7.40692776659021,7.12018602753186,3.69041709553247,3.39231742277876,3.32192809488736,3.32481060342048,3.41413553298445,6.71863561627134,3.32192809488736,3.33771109212829
BCJ080226A02,0.5,0,0,3.38266725274504,3.72683121703249,3.34340782229781,3.32624970083746,NA,3.32192809488736,3.32768736417605,3.32481060342048,3.4154882710497,3.32192809488736,3.32192809488736,3.58135124716878,3.38543103719352,4.23802251782572,3.36737106564853,3.52230689287139,3.90737141382356,3.38681094647222,3.4262647547021,3.38404980679516,3.32481060342048,3.32912359629157,3.69710657447697,3.34482849699744,3.54101915313356,3.50080205305716,3.93734439215023,3.68929916053589,4.5216789516032,7.44418666269936,6.60407132366886,3.80322703643493,3.4276061727819,3.36876834909033,NA,3.51349074558812,5.69543711040537,3.32192809488736,3.32912359629157
BCJ080212A04,0.5,0,1,3.37851162325373,3.76553474636298,3.36457243229586,3.32624970083746,NA,NA,3.32481060342048,3.32192809488736,3.44890095114513,3.32192809488736,NA,3.5933537709803,3.46988597627446,3.98458935036246,3.3547342399706,3.50080205305716,3.89675621847481,3.38404980679516,3.45811948117451,3.37989816352469,3.32337006906127,3.32768736417605,3.7235585614721,3.34624777408278,4.1168637576909,3.46988597627446,3.92884403671257,3.58496250072116,4.43562859405209,7.23697088625934,6.7348450781895,3.7158933705476,3.43562859405209,3.33628338786443,3.34908214639109,3.93545974780529,6.01947953370363,3.32192809488736,3.34766565630097
BCJ080219A04,0.5,0,1,3.39643353125099,4.14974711950468,3.38543103719352,3.3305584000308,NA,3.32337006906127,3.33342373372519,3.32337006906127,3.46336088581666,3.32624970083746,3.32337006906127,3.79181407116183,3.55213110825378,4.13586316536868,3.37573453858316,3.50842865253186,4.16188768237689,3.43562859405209,3.53356334821451,3.43162295971329,3.32337006906127,3.33913738491959,3.91647664443772,3.34056226902641,3.70818723602071,3.45549162062847,3.86393845042397,3.68257329734758,4.37642931106992,7.09148827976428,7.36553507498419,3.80632405739003,3.32481060342048,NA,3.32192809488736,3.37573453858316,6.83137058796754,3.32337006906127,3.34482849699744
BCJ080226A04,0.5,0,1,3.40190347160796,3.82578562746479,3.35614381022528,3.32768736417605,3.32192809488736,NA,3.33199177823206,3.32192809488736,3.44095219802964,3.32192809488736,3.32337006906127,3.62993940943954,3.47897180503294,4.32553033156756,3.37155886261196,3.48928602262588,4.10265813136374,3.38266725274504,3.45680614923047,3.39231742277876,3.32337006906127,3.32912359629157,3.74738739965272,3.34766565630097,3.77505054148317,3.5957423394744,4.07124781946144,3.74092756031863,5.17871464117544,7.54156130132334,6.65992455840238,3.68818035858693,3.33485426933163,3.36737106564853,NA,3.46074256378964,5.90496571868403,3.32192809488736,3.33485426933163
BCJ080212A03,0.5,1,0,3.42223300068305,3.80322703643493,3.35755200461808,3.32481060342048,3.32337006906127,NA,3.32768736417605,3.32624970083746,3.46074256378964,3.32192809488736,3.32192809488736,3.63459326844576,3.45680614923047,4.17632277264046,3.36737106564853,3.46466826700344,4.36527259976453,3.36036427654347,3.47897180503294,3.33913738491959,3.32624970083746,3.33485426933163,3.76871365703048,3.35755200461808,4.00090140274153,3.5385381636298,3.93357263826102,3.5981269599196,4.49313492230551,7.35939817627605,7.0360636887437,3.78659636189081,3.39780296186249,3.33771109212829,NA,3.54349588342577,6.03364324351038,3.32337006906127,3.32768736417605
BCJ080219A03,0.5,1,0,3.38543103719352,3.86591881455221,3.37155886261196,3.32624970083746,3.32337006906127,3.32337006906127,3.33913738491959,3.32768736417605,3.45285896471381,3.32481060342048,3.32192809488736,3.76553474636298,3.53356334821451,4.03474394932473,3.3743439890385,3.5668151540109,4.17592374206376,3.41683974191283,3.50969584193339,3.39506279951758,3.32337006906127,3.33628338786443,3.89627184880738,3.34198574722862,4.05831649559082,3.45549162062847,4.3212065669699,3.65420637794429,5.12350066435096,7.68299458368168,7.18269229751619,3.76447355099267,3.40735275114004,3.32337006906127,3.32912359629157,3.46205231879643,6.66789212523023,3.32192809488736,3.34908214639109
BCJ080226A03,0.5,1,0,3.40599235967584,3.79701297783614,3.35191096110308,3.32481060342048,NA,NA,3.32624970083746,3.32192809488736,3.45285896471381,NA,3.32192809488736,3.63575439127776,3.46727948045998,4.30158764660319,3.37712374912949,3.48800077083407,3.94204525991605,3.38818953715608,3.46466826700344,3.38543103719352,3.32337006906127,3.32768736417605,3.79805051476751,3.35049724708413,3.55213110825378,3.52732060787705,4.00988458893184,3.71369581484336,4.47378691161437,7.47045552004783,6.75194568161502,3.78555055173926,3.33485426933163,3.36597242759338,NA,3.54843662469604,5.91934008244201,3.32192809488736,3.33771109212829
BCJ080212A05,0.5,1,1,3.43162295971329,3.98185265328974,3.36457243229586,3.32337006906127,3.32337006906127,NA,3.32481060342048,3.32192809488736,3.4905701304462,3.32337006906127,NA,3.71259578044703,3.53356334821451,4.39369076418745,3.36176835941915,3.4995270242151,4.07681559705083,3.36737106564853,3.54720302475693,3.3305584000308,3.32481060342048,3.33485426933163,3.85897561429202,3.35191096110308,3.99548451887751,3.50207595604579,3.90977310414164,3.611172380044,4.37225564844579,7.59111089074275,7.25115099059394,3.77188557851537,3.32912359629157,3.33771109212829,3.3547342399706,3.45022149589718,6.28891220276619,3.32192809488736,3.33342373372519
