sample,Tissue/Fluid, Treatment,11-Dehydrocorticosterone,17-hydroxypregnenolone,17-hydroxyprogesterone,Aldosterone,Androstenolone (DHEA),Cortexolone,Cortexone,Corticosterone_ DOC,Cortisol,Cortisone,Estradiol,Estrone,Mono-(2-ethylhexyl) phthalate,Pregnenolone,Progesterone,Testosterone
12 control Adrenal Dam,1,1,23835.2255,27.3278,0,238.5226,2.6958,0,3701.6886,36301.1464,0,0,3.0703,5.0585,0,3488.1619,32510.5899,1.2517
1 control Adrenal Dam,1,1,10484.5095,44.3662,0,225.6918,12.8083,0,8061.3155,16800.1492,0,0,1.6011,0,0,4732.1346,36655.3803,1.9252
27 control Adrenal Dam,1,1,12642.8922,27.9861,0,274.6533,8.3817,0,3014.5222,39623.4845,0.2597,0,1.9916,1.8535,0,1940.4254,34610.9938,1.2481
28 control Adrenal Dam,1,1,25842.7495,34.1668,0,455.0295,1.5311,0,4327.8612,63522.7144,0,0,0.9854,0.2731,0,1591.9324,22989.5503,1.4745
39 control Adrenal Dam,1,1,7625.3871,2.6869,0,272.3569,1.6556,0,1486.2565,25551.2012,0.7886,0,4.4365,12.0294,0,812.5685,17862.248,0.4998
3 control Adrenal Dam,1,1,8356.4412,40.2813,0,409.4197,6.5605,0,6036.1897,29839.7624,5.7912,0,10.187,9.6571,0,2553.5213,35255.7682,0.9695
40 control Adrenal Dam,1,1,8421.2096,8.3829,0,87.233,10.0187,0,2368.142,47231.5072,0.3966,0,41.5669,109.5632,0,1281.8174,21830.6172,3.4393
8 control Adrenal Dam,1,1,4620.783,51.8701,0,128.4816,3.8857,0,4399.0347,17090.3741,0,0,3.5924,0,0,2752.8709,22505.9028,1.9452
9 control Adrenal Dam,1,1,15710.8512,103.5159,0,537.329,9.3938,0,13841.805,43277.5114,0,1.3453,3.0341,11.1897,0,3048.9149,35167.5745,1.0081
10 MZD Adrenal Dam,1,3,1059.4786,29.7518,0,72.6714,7.6138,0,5045.4401,13285.6724,0,0,96.9885,53.8581,0,2402.3593,26227.8594,0.8769
11 MZD Adrenal Dam,1,3,7570.8164,50.8764,0,122.3024,11.395,0,6779.4252,18977.7708,1.1301,0,1.6099,17.4754,0,2170.1578,34468.2276,1.4802
14 MZD Adrenal Dam,1,3,14954.7481,54.1581,0,121.5821,3.6247,0,7023.0581,58686.8335,1.1175,0,3.5031,0,0,3712.209,51631.6314,2.5779
19 MZD  Adrenal Dam,1,3,5472.0915,30.6466,0,610.397,6.468,0,1047.5817,18291.1183,0.3579,0.0202,1.9795,0,0,465.3433,8643.7782,0.3795
32 MZD Adrenal Dam,1,3,6965.4888,16.2443,0,154.6223,7.0179,0,2560.0729,28504.9782,0,1.1223,10.3855,745.5974,0,1767.936,14158.5241,0.797
41 MZD Adrenal Dam,1,3,5427.5005,23.1293,0,582.1385,4.2344,0,3021.5074,38480.4645,4.9959,2.7838,0.9086,2.8676,0,1870.3815,30070.8577,0.9078
5 MZD Adrenal Dam,1,3,33929.1677,125.4054,0,282.2845,9.8353,0,22659.8708,43388.0701,0,13.612,4.9175,74.4066,0,2247.7366,29203.6513,1.0808
12 control Brain Female,2,1,0.0554,0.8634,0.1926,2.2558,0.0736,0,0.614,41.5625,0.8602,0,0.3894,5.4913,0,43.8778,9.3576,1.3924
1 control Brain Female,2,1,7.4762,0.6625,0,0.7298,1.1212,0,2.4943,29.1681,0,0,1.96,51.2984,0,26.1819,16.9929,0.1424
27 control Brain Female,2,1,1.7827,0.1652,0,0.2609,1.902,0.7639,0.0277,12.2099,0,0,0.5881,2.7138,0,38.4606,8.9626,0.1084
28 control Brain Female,2,1,0.7951,0.4657,0.025,1.0761,2.5224,0.6634,0.5185,13.0188,0,0,0.4649,1.2954,0,35.3725,10.8337,0.2099
39 control Brain Female,2,1,0.3815,0.3484,0.16,0.7518,1.9872,0.0224,0.5317,19.3097,1.1368,0,0.9791,0.0719,0,15.0785,13.1233,0.3801
3 control Brain Female,2,1,18.8192,0.8419,0.0545,1.5697,0.5839,1.0199,1.5473,51.6011,0,0,0.234,22.4314,0,0,11.6287,1.1602
40 control Brain Female,2,1,1.2007,1.2602,0.2398,1.0289,3.4558,0,0.1163,29.2061,0,0,2.3164,1.2477,0,4.0153,7.9524,0.5682
8 control Brain Female,2,1,0.2339,0,0.0063,0.6085,0.0554,0,0.0242,22.4342,0.0613,0.0453,0.3506,0.1143,0,29.4154,3.8006,0.4888
9 control Brain Female,2,1,19.0092,0.4104,0.1341,0.7219,0.5245,0.6131,0.0085,30.3563,0,0.0839,1.9704,3.2205,0,11.5833,9.9198,0.0927
10 MZD Brain Female,2,3,0.5012,0.1738,0,0.9595,0.1567,0.0321,0.0516,26.0244,0,0,0.1687,0.0575,0,16.7754,7.5934,0.0205
11 MZD Brain Female,2,3,0.1128,0,0.1464,0.2165,0.3664,0.1141,0.0227,27.9348,0,0,0.1827,1.0335,0,0,9.5389,0
14 MZD Brain Female,2,3,0.5216,0.5829,0,0.3393,0.0797,0,0.3886,17.5193,0,0,0.5667,0.1939,0,0,5.3987,0.239
19 MZD  Brain Female,2,3,0,0.0532,0.2249,0.4423,1.9025,0,0.0685,14.2029,0,0,0.7303,9.5552,0,0,8.1505,0.0172
32 MZD Brain Female,2,3,1.6168,0.8018,0.0985,0.3599,0.6022,0,0.0452,13.1352,0,0,4.8665,3.4721,0,2.3984,9.7737,0.1105
41 MZD Brain Female,2,3,0.8297,0.9217,0.1768,0.3732,1.9056,0.1152,0.041,20.3701,0,0.1542,0.1858,0.0422,0,26.1279,7.5037,0.4448
