sample,Time Point, Sample Source,Asp TIC Results,Asp EIC Results,2HG TIC Results,2HG EIC Results,Glu TIC Results,Glu EIC Results,Ratio of 2HG/Glu TIC,Ratio of 2HG/Glu EIC
V09,2,2,62067.0586,3662.335785,2379.6125,270,6571665.097,990626.18,0.000362102,0.000272555
MUT09,2,2,68997.33993,4347.787233,929937.0141,138357.9143,2105616.63,275121.6334,0.44164593,0.502897255
MUT07,2,2,75371.38813,4583.813687,998440.9202,149553.5296,2428900.625,327978.707,0.411067011,0.455985484
MUT06,2,2,70801.55076,4203.923077,1069168.264,167596.3631,2636272.734,351267.1984,0.405560567,0.477119309
WT02,2,2,57925.81691,3334,1766.103125,229,5319126.759,775707.6208,0.000332029,0.000295214
WT07,2,2,54193.40238,3182,1957.321316,191.0320803,4913475.068,718882.7063,0.000398358,0.000265735
WT05,2,2,70498.59874,4256.284942,2171.235413,227,6259518.76,948702.1825,0.000346869,0.000239274
MUT04,2,2,75943.91992,4528.721112,1099299.67,165613.6082,2824469.46,375655.602,0.38920572,0.440865536
V07,2,2,64545.09647,3918,1892.113359,202,6210461.425,958285.8009,0.000304666,0.000210793
MUT08,2,2,85047.2726,4911.015217,1145497.368,174699.255,3010281.962,411560.9846,0.380528264,0.424479631
WT04,2,2,48154.70257,2718.296788,1975.7625,269,5720729.838,820832.6422,0.000345369,0.000327716
WT06,2,2,57527.10983,3421.644581,1905.813369,293,5446163.308,779101.1062,0.000349937,0.000376074
V02,2,2,195115.1489,12155.11512,1984.771547,153.6153846,7399968.004,1121221.964,0.000268214,0.000137007
WT03,2,2,109874.8587,6705.797197,1546.773382,106,6710379.362,1010130.576,0.000230505,0.000104937
MUT10,2,2,24718.9052,1454,345366.8361,46323.90963,325767.923,36423.1178,1.060162194,1.271827137
WT10,2,2,42896.08221,2236.269006,1970.146877,188,2744293.793,354539.6253,0.000717907,0.000530265
WT01,2,2,65546.02794,3674.666291,1600.292662,208,5883039.872,863701.3527,0.000272018,0.000240824
MUT05,2,2,66255.50981,3960.195702,1295079.348,193454.2214,2628371.845,344749.4315,0.492730642,0.561144425
WT08,2,2,52567.21863,3085.191925,1979.033494,224.7783898,5277603.5,786260.5234,0.000374987,0.000285883
V05,2,2,59880.8502,3243,1900.014468,217.5384615,5635202.765,827220.0986,0.000337169,0.000262975
MUT03,2,2,184595.3644,11989.50018,1280467.562,193792,3618888.413,509222.163,0.353828971,0.38056474
WT09,2,2,68731.63646,4013.754717,3027.920939,309,6774789.104,1025686.712,0.00044694,0.000301262
V10,2,2,69226.80163,3994.741025,2127.9625,186.7152671,5235173,767966.1044,0.000406474,0.00024313
V06,2,2,69381.23022,4002.483707,2185.223102,208,7130334.299,1096147.9,0.000306469,0.000189755
V04,2,2,50766.08415,3013.425367,1412.21632,147,5388128.67,796064.9075,0.000262098,0.000184658
V01,2,2,66367.8631,4072,1225.53659,114.9890625,6177417.333,934035.5617,0.00019839,0.00012311
MUT02,2,2,89576.99165,5499.242766,793902.9575,113573.8189,3911635.827,553716.6715,0.202959323,0.205111792
V03,2,2,75550.29143,4173.888452,2112.97766,99.34615385,6304200.431,967320.9254,0.00033517,0.000102702
MUT01,2,2,82785.95803,4778,1011826.018,149099.4184,2773219.482,379383.6661,0.364856091,0.393004317
V08,2,2,54247.98495,3045,1652.465949,185,5752449.506,856029.8588,0.000287263,0.000216114
HR_11_IDH1,4,3,609124.4604,40897.83605,170291.5777,23652.43084,5657123.897,837782.48,0.030102147,0.028232186
HR_09_IDH1,4,3,199059.426,11823.08569,3583177.525,621035.4005,5421979.081,830819.2785,0.660861555,0.74749758
HR_02_WT,4,3,498470.7185,33519.62848,5628.459375,412.2819881,6700558.637,1052077.06,0.000839999,0.000391874
HR_05_IDH2,4,3,114465.8525,6254.089803,110893.0043,15248.91958,2476359.879,338847.0227,0.04478065,0.045002371
HR_07_IDH2,4,3,294486.5884,18889.7325,988477.7222,152807.3429,5688185.037,879267.292,0.17377735,0.173789409
HR_10_IDH1,4,3,148462.0829,8699.05017,62002.62615,8894.017817,2886950.29,410022.5336,0.02147686,0.021691534
HR_08_IDH2,4,3,1251014.126,89508.51923,3029049.197,514037.0952,7693632.984,1228190.706,0.393708564,0.418531986
HR_12_IDH1,4,3,30251.68959,1287.386974,77559.86208,10228.53963,1022163.621,131308.0108,0.075878128,0.077897301
HR_03_WT,4,3,135569.8079,7797.942518,7178.801639,296.2179893,2983100.095,423002.6766,0.00240649,0.000700275
HR_06_IDH2,4,3,493269.6016,32259.55409,1450304.234,229797.9352,7513739.861,1211303.961,0.193020288,0.189711206
HR_04_WT,4,3,3450604.433,278317.2429,11398.43176,2742.899876,15857911.82,2735000.716,0.000718785,0.001002888
HR_01_WT,4,3,207144.2845,13213.95684,4855.188278,398.9230769,3486475.573,493847.4982,0.001392578,0.000807786
CS49_MUT09_48,3,2,22127.07494,1165,677076.7539,91317.61085,402768.302,43606.31775,1.681057696,2.09413717
CS43_MUT03_48,3,2,55695.28688,3313.723305,157407.1728,20168.79702,917124.0403,104180.3391,0.17163128,0.193595041
CS56_V06_48,3,2,27501.0992,1411,970.9440275,172,916524.7667,103251.6172,0.001059376,0.001665833
CS53_V03_48,3,2,48423.55338,2723,1329.561653,97,896398.7647,98985.38524,0.001483226,0.000979943
CS37_WT07_48,3,2,21037.22373,1062,1737.817176,187,820508.4048,93037.50765,0.002117976,0.002009942
CS47_MUT07_48,3,2,22634.30231,1194,767532.3147,105992.4709,371541.9572,38941.82004,2.065802529,2.721816052
CS58_V08_48,3,2,24947.40435,1264,3001.959482,214,627541.9594,68263.01578,0.004783679,0.003134933
CS51_V01_48,3,2,24803.51163,1441.993592,1516.810698,100,1423014.712,161903.8392,0.001065914,0.000617651
CS33_WT03_48,3,2,33477.10421,1879,1431.522293,174.4615385,667199.7068,72772.85632,0.002145568,0.002397344
CS44_MUT04_48,3,2,15504.29583,1042.273538,340394.3165,43709.26145,229728.4523,23784.77659,1.481724676,1.837699054
CS41_MUT01_48,3,2,23392.70818,1327,410910.7765,52373.78773,545835.1978,59903.28215,0.752811065,0.874305812
CS39_WT09_48,3,2,22287.02709,1135,1573.514574,229.4774348,684639.2191,74874.48183,0.002298312,0.003064828
CS52_V02_48,3,2,22427.61428,1103,1086.680241,95,480477.1016,52460.39831,0.002261669,0.00181089
CS48_MUT08_48,3,2,22521.52089,1242,628545.7785,86368,448996.381,47686.8242,1.399890523,1.811150175
CS42_MUT02_48,3,2,31661.43607,1951,197697.5771,25699.3888,335738.4797,35286.04402,0.588843964,0.728315954
