dataset, annotation, gse, species, entity, technology, type, samples, duplicates, disease, child node, parent node,
http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10072.csv, http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10072_Annot.csv, GSE10072, Homo sapiens, Gene expression, GPL96, in situ oligonucleotide,107, GSE75324, lung adenocarcinoma, cancer, disease of cellular proliferation,
http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10137.csv, http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10137_Annot.csv, GSE10137, Homo sapiens, Gene expression, GPL96, in situ oligonucleotide,40, GSE10139 GSE22529, chronic lymphocytic leukemia, cancer, disease of cellular proliferation,
http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10139.csv, http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10139_Annot.csv, GSE10139, Homo sapiens, Gene expression, GPL96, in situ oligonucleotide,40, GSE10137 GSE22529, chronic lymphocytic leukemia, cancer, disease of cellular proliferation,
http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10255.csv, http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10255_Annot.csv, GSE10255, Homo sapiens, Gene expression, GPL96, in situ oligonucleotide,161, GSE17195 GSE26281 GSE28497 GSE33315 GSE66702 GSE66708 GSE8879, leukemia, cancer, disease of cellular proliferation,
http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10320.csv, http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10320_Annot.csv, GSE10320, Homo sapiens, Gene expression, GPL96, in situ oligonucleotide,144, GSE11482 GSE30946 GSE31403, renal Wilms' tumor, cancer, disease of cellular proliferation,
http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10325.csv, http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10325_Annot.csv, GSE10325, Homo sapiens, Gene expression, GPL96, in situ oligonucleotide,66, , systemic lupus erythematosus, musculoskeletal system disease, disease of anatomical entity,
http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10631.csv, http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10631_Annot.csv, GSE10631, Homo sapiens, Gene expression, GPL96, in situ oligonucleotide,43, , leukemia, cancer, disease of cellular proliferation,
http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10760.csv, http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10760_Annot.csv, GSE10760, Homo sapiens, Gene expression, GPL96, in situ oligonucleotide,98, GSE9676, facioscapulohumeral muscular dystrophy, musculoskeletal system disease, disease of anatomical entity,
http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10783.csv, http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE10783_Annot.csv, GSE10783, Homo sapiens, Gene expression, GPL96, in situ oligonucleotide,34, , germinoma, cancer, disease of cellular proliferation,
http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE11038.csv, http://dataome.mensxmachina.org/data/Homo sapiens/GPL96/GSE11038_Annot.csv, GSE11038, Homo sapiens, Gene expression, GPL96, in situ oligonucleotide,60, GSE16746 GSE9992, chronic lymphocytic leukemia, cancer, disease of cellular proliferation,
